[Thu Jul 22 12:29:35.616 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:29:36.367 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:29:48.103 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:32:00.218 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:32:00.977 2010] 0.001 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:32:03.844 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:44:52.168 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:44:52.959 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:44:58.203 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:45:37.722 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:45:38.502 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:45:43.257 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:52:01.261 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] x
[Thu Jul 22 12:52:02.245 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] x
[Thu Jul 22 12:52:12.439 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:52:13.271 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:52:20.717 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:55:41.359 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
